2010	3837480
2011	3594775
2012	3447084
2008	3318513
2014	3261313
2013	3218167
2009	3190379
2007	3119121
2015	3083734
2016	3079604
2006	2829683
2017	2767978
2018	2703975
2005	2251224
2000	2151169
2004	2088139
2003	1796315
2002	1726058
2001	1712030
2019	1559479
1999	1456863
1998	1352417
1990	1311016
1996	1274846
1997	1260536
1995	1163166
1994	1123736
1992	1115994
1980	1080639
1993	1054335
1991	1038888
1988	939739
1989	938209
1970	914393
1987	868292
1986	846910
1984	831340
1985	810518
1960	792840
1983	784413
1982	778303
1981	722760
1979	722568
1976	691055
1978	685468
1972	674847
1975	668078
1974	666199
1977	659660
1968	652860
1950	637537
1973	630570
1971	619566
1969	591405
1945	589515
1967	566728
1964	562092
1966	544103
1940	538366
1965	529892
1962	517112
1920	506385
1930	504508
1963	495543
1961	484633
1944	464437
1956	459240
1959	449950
1948	447026
1958	445338
1939	435164
1952	428366
1957	427623
1942	427416
1946	426735
1955	425165
1954	413579
1943	411507
1941	409612
1953	407041
1947	402065
1951	401396
1949	394902
1936	387731
1918	382196
1938	352215
1900	348872
1937	344664
1910	344203
1935	336297
1919	333958
1914	330551
1931	325475
1928	325008
1932	321956
1933	320751
1924	317932
1917	317285
1912	317098
1934	316972
1929	316818
1922	314955
1921	310307
1923	301914
1927	297740
1911	294693
1926	292266
1925	290423
1000	288410
1916	274358
1913	272260
1915	271264
1908	265985
1906	239170
1909	238825
1901	238591
1890	233133
1905	233044
1907	229619
1904	223639
1903	218866
1880	207686
1902	205056
1899	193145
1898	190915
1896	187743
1895	185259
2020	181755
1897	180054
1870	178624
1885	173117
1892	171289
1891	170963
1893	170572
1861	169246
1889	168312
1894	166941
1860	166208
1888	158809
1881	154260
1886	153332
1865	153209
1887	152124
1884	142612
1850	141889
1864	139232
1882	137219
1863	136295
1871	135422
1878	134637
1862	134278
1883	133527
1876	130701
1875	129952
1868	127894
1500	127523
1867	125930
1879	125809
1874	124682
1872	124344
1877	124046
1800	120566
1866	120558
1873	120159
1840	114410
1869	113922
1859	112492
1857	111693
1848	108623
1830	105322
1856	102180
1851	101035
1855	100777
1854	100476
1858	99868
1852	98491
1847	92034
1849	91352
1853	91134
1846	89501
1841	87444
1820	84725
1837	83766
1832	83442
1845	81472
1812	81298
1844	80141
1839	79231
1843	77941
1836	77466
1835	77083
1842	75539
1831	73956
1815	73925
1838	73654
1834	70110
1600	70005
1819	69903
1801	68399
1833	68046
1200	67955
1821	67590
1825	66586
1810	66386
1814	64714
1100	64683
1828	62807
1790	61853
1806	61763
1824	61462
1826	61319
1829	60644
1775	59794
1822	59607
1813	59499
1818	59445
1803	58480
1816	58436
1823	57261
1811	56259
1793	56040
1827	55926
1758	55109
1809	54553
1817	54496
1001	53239
1807	53052
1805	52917
1808	52886
1804	52529
1802	52366
1700	52055
1798	50883
1794	50196
1300	49621
1795	49083
1789	48969
1780	48746
1796	48542
1792	47523
1799	46471
1111	45046
1797	44731
1776	44200
1400	43799
1080	43281
1791	43262
2021	41685
1011	41638
1010	41514
1783	40585
1016	39465
1750	39240
1788	39231
1007	38707
1660	37427
1787	36856
1002	36744
2022	36276
1770	36174
1777	35716
1784	35243
1781	35141
1774	34387
1782	34040
1778	34001
1020	33501
1763	33452
1760	33414
1005	33329
1718	33212
1786	32970
1785	32548
1779	31744
1640	30677
1112	30604
1201	30569
1617	30177
1715	30098
1707	29933
1650	29817
1710	29254
1761	29236
1620	29086
1768	29022
1740	28964
1701	28877
1003	28731
1772	28680
1004	28674
1720	28620
1101	27722
1773	27717
1730	27172
1690	27139
1754	27045
1213	26995
1103	26925
1759	26766
1214	26561
1766	26531
1012	26245
1415	25947
1767	25900
1765	25826
1120	25824
1110	25725
1771	25627
1021	25594
1210	25578
1762	25502
1030	25416
1603	25344
1764	25309
1314	25245
1006	25126
1516	25101
1769	25063
1745	25041
1702	24949
1630	24835
1753	24829
1220	24719
1755	24614
1015	24489
1610	24457
1250	24424
1727	24305
1680	24298
1757	24049
1234	23998
1230	23967
1722	23952
1008	23931
1212	23910
1017	23824
1024	23789
1550	23766
1708	23747
1756	23688
1202	23659
1741	23633
1648	23587
1130	23465
1689	23418
1713	23347
1540	23289
1711	23275
1714	23225
1747	23208
1050	23179
1205	23127
1022	23118
1102	23032
1605	22959
1611	22725
1109	22664
1752	22556
1743	22378
1734	22360
1013	22311
1661	22293
1601	22262
1204	22219
1117	22189
1014	22083
1009	22059
1609	21971
1604	21967
1625	21904
1670	21870
1703	21706
1751	21631
1749	21603
1667	21581
1705	21503
1621	21494
1748	21476
1211	21284
1520	21204
1560	21147
1746	21104
2030	21027
1721	21016
1104	20964
1126	20936
1086	20922
1642	20910
1023	20815
1742	20745
1570	20703
1704	20674
1450	20637
1644	20617
1203	20615
1709	20573
1744	20565
1580	20416
1121	20387
1735	20385
1712	20325
1606	20318
1723	20276
1685	20221
1725	20208
1150	20208
1622	20180
1638	20170
1717	20160
1607	20132
1629	20130
1739	20113
2023	20111
1105	20021
1612	19997
1688	19985
1645	19920
1628	19908
1590	19889
1093	19875
1602	19855
1530	19839
1654	19823
1501	19817
1031	19752
1724	19627
1301	19578
1018	19576
1635	19540
1706	19528
1641	19520
1643	19515
1510	19508
1719	19507
1732	19500
1666	19405
1040	19398
1208	19386
2025	19342
1019	19250
1716	19132
1027	19130
2027	19066
1108	19064
1728	19057
1675	19044
1209	19042
1025	19014
1726	19001
1558	18982
1729	18902
1420	18894
1215	18876
1733	18857
1679	18839
1649	18835
1632	18797
1051	18725
1618	18719
1737	18668
1608	18576
1653	18559
1626	18521
1634	18515
1623	18507
1206	18501
1350	18494
1736	18477
1115	18431
1662	18386
1616	18348
1124	18346
1070	18338
1659	18289
1656	18270
1310	18256
1207	18255
1122	18236
1106	18199
1695	18197
1503	18190
1624	18073
1738	18062
1614	18048
1615	18035
1107	17996
1575	17975
1313	17959
1221	17956
1613	17953
1521	17903
1655	17887
2024	17855
1216	17825
1684	17823
1619	17806
1536	17802
1118	17784
1401	17784
1731	17736
1502	17700
1665	17689
1089	17685
1651	17667
1060	17659
1633	17601
1672	17595
1683	17496
1231	17471
1226	17420
1218	17401
1692	17359
1699	17347
1114	17320
1225	17298
1240	17277
1140	17277
1026	17197
1280	17193
1410	17181
1029	17170
1652	17166
1555	17102
1636	17072
1038	17016
1125	17002
1664	16998
1627	16947
1222	16919
1681	16867
1585	16838
1697	16812
1698	16806
1637	16793
1658	16791
1340	16744
1113	16741
1506	16702
1598	16701
1224	16684
1646	16677
1123	16668
1583	16633
1663	16609
1219	16586
1440	16522
1515	16494
1223	16486
1505	16468
1217	16451
1691	16424
1572	16412
1260	16408
1639	16405
1303	16391
1682	16347
1525	16324
1320	16298
1509	16296
1028	16284
1119	16225
1553	16211
1504	16143
1547	16073
1402	16072
1631	16060
1576	15989
1694	15971
2050	15968
1559	15961
1088	15948
1673	15945
1526	15939
1676	15920
1668	15896
1170	15857
1490	15841
1647	15805
1330	15781
1517	15780
1674	15741
1686	15741
1592	15740
1571	15679
1687	15672
1584	15666
1512	15663
1678	15642
1693	15633
1290	15607
1554	15555
1657	15517
1180	15498
1066	15492
1696	15478
1669	15466
1511	15460
1116	15423
1227	15373
1160	15325
1542	15260
1565	15213
1677	15213
1539	15204
1127	15157
1302	15108
1532	15054
1597	14999
1311	14966
1538	14923
1528	14921
1460	14884
1588	14845
1545	14832
1190	14806
1480	14789
1552	14764
1535	14763
1671	14752
1541	14697
1596	14645
1593	14621
1270	14616
1041	14559
1470	14551
1513	14542
1090	14515
1312	14509
1523	14506
1595	14505
1508	14484
1430	14468
1129	14456
1586	14435
1305	14433
1569	14305
1599	14296
1568	14281
1412	14271
1591	14268
1564	14238
1556	14158
1567	14115
1492	14067
1527	14052
1405	13960
1411	13958
1365	13941
1587	13938
1424	13935
1037	13909
1032	13904
1533	13894
1035	13879
1534	13872
1052	13856
1531	13849
1566	13835
1307	13789
1537	13732
1573	13722
1507	13710
1073	13674
1128	13651
1403	13646
1421	13606
1519	13584
1522	13571
1042	13567
1549	13538
1578	13531
1561	13501
1406	13472
1404	13461
1594	13417
1563	13405
1551	13392
1370	13388
1055	13368
1253	13363
1544	13337
1061	13299
1581	13296
1529	13294
1518	13290
1308	13280
1562	13250
1229	13248
1081	13247
1228	13238
1524	13238
1557	13227
1582	13203
1241	13131
1152	13117
1256	13087
1543	13081
1304	13055
1589	13023
1409	13008
1577	12995
1306	12988
1145	12976
2040	12963
1380	12952
1414	12950
1033	12898
1309	12879
1036	12868
1390	12863
1295	12824
1514	12775
1360	12735
1063	12724
1453	12695
1146	12665
1043	12645
2026	12568
1408	12560
1071	12552
1574	12516
1138	12487
1368	12476
1257	12438
1044	12400
1548	12397
1131	12394
1389	12368
1322	12364
1385	12336
1315	12325
1485	12314
1333	12313
1141	12303
1034	12260
1422	12255
1371	12245
1045	12221
1546	12198
1579	12166
1099	12124
1316	12112
1134	12108
1407	12108
1135	12095
1098	11998
1053	11972
1046	11970
1413	11959
1151	11912
1142	11828
1235	11807
1275	11728
1054	11701
1251	11660
1236	11657
1191	11641
1056	11580
1435	11568
1325	11520
1155	11519
1291	11517
1154	11490
1144	11452
1483	11439
1416	11391
1493	11364
1161	11340
1091	11332
1175	11264
1075	11259
1072	11236
1499	11234
1048	11233
1478	11224
1434	11223
1049	11221
1143	11216
1419	11204
1237	11200
1252	11191
1095	11186
1425	11185
1097	11163
1471	11151
1177	11104
1475	11088
1185	11084
1137	11083
1242	11082
1136	11060
1039	11048
1323	11034
1171	11029
1348	11027
1439	11013
1331	10981
1047	10975
1495	10972
1082	10972
2060	10955
1085	10954
1321	10945
1238	10929
1064	10927
1153	10904
1067	10891
1461	10869
1198	10853
1417	10840
1299	10837
1258	10832
1139	10830
1083	10829
1423	10827
1199	10814
1232	10799
1092	10770
1245	10743
1444	10743
1386	10702
1318	10683
1062	10615
1261	10614
1181	10611
1148	10597
1452	10565
1328	10565
1327	10563
1345	10549
1058	10546
1233	10537
1317	10521
1243	10507
1347	10506
1087	10464
1079	10449
1282	10427
1445	10419
1418	10414
1349	10413
1455	10388
1342	10385
1346	10382
1248	10377
1458	10370
1319	10370
1356	10355
1264	10318
1254	10312
1162	10312
1476	10311
1164	10301
1156	10297
1466	10290
1442	10266
1244	10265
1147	10252
1459	10242
1361	10233
1285	10214
1157	10200
1467	10167
1388	10167
1494	10159
1065	10140
1341	10137
1272	10133
1057	10111
1132	10094
1441	10091
1351	10072
1194	10064
2031	10058
1059	10057
1189	10056
1246	10050
1329	10040
1166	10033
1337	10030
1326	10011
1399	9988
1271	9980
1431	9980
1247	9975
1173	9968
1332	9965
1355	9960
1359	9952
1292	9947
1472	9930
1296	9921
1353	9918
1182	9916
1133	9911
1477	9891
1192	9882
1074	9868
1482	9861
1239	9827
1377	9818
1449	9803
1158	9802
1255	9769
1468	9768
1344	9766
1084	9762
1381	9753
1497	9726
1498	9714
1281	9697
1428	9681
1338	9667
1339	9665
1335	9659
1474	9658
1451	9641
1464	9606
1367	9605
1278	9604
1457	9592
1443	9587
1249	9576
1068	9570
1364	9566
2051	9560
1432	9549
1462	9535
2041	9532
1096	9513
1193	9501
1343	9494
1094	9493
1382	9487
1479	9478
1279	9475
1324	9468
1375	9467
1336	9462
1163	9449
1454	9444
1172	9443
1469	9437
1438	9412
1394	9406
1378	9396
1149	9382
1397	9371
1465	9370
1274	9369
1427	9358
1429	9345
1395	9339
1433	9339
1165	9337
1077	9334
1186	9307
1174	9304
1488	9294
1352	9291
1259	9274
1436	9250
1159	9218
1286	9210
1481	9207
1392	9206
1284	9205
1195	9197
1396	9193
1456	9192
1268	9188
1496	9174
1265	9156
1069	9151
1298	9147
1294	9130
1446	9120
1447	9097
1357	9095
1184	9095
1491	9077
1426	9066
1391	9059
1473	9036
1078	9032
1363	9027
2080	9024
1354	9007
1362	9005
1373	8979
1334	8962
2070	8956
1448	8954
1437	8952
1183	8942
1384	8926
1484	8925
1277	8896
1266	8889
1287	8888
1262	8881
1167	8851
1463	8846
1076	8840
1366	8820
1297	8798
1176	8773
1358	8768
1288	8746
1179	8711
1187	8697
1283	8685
1276	8670
2032	8668
1263	8665
1267	8658
1369	8655
1383	8652
2028	8613
1293	8609
1376	8602
1372	8586
1273	8569
1196	8543
1197	8537
1486	8480
2091	8472
1178	8447
2090	8438
1398	8419
1487	8415
1387	8380
2048	8265
1188	8242
1379	8136
1489	8129
1374	8127
1393	8124
1169	8063
1289	8052
2029	7991
2054	7982
2049	7899
1168	7876
1269	7815
2081	7725
2052	7709
2035	7703
2044	7619
2042	7593
2071	7531
2061	7480
2033	7170
2099	7155
2045	7144
2034	7068
2055	6899
2036	6655
2072	6644
2037	6620
2043	6593
2092	6536
2046	6272
2082	6165
2047	6150
2053	6146
2038	6126
2062	5958
2039	5907
2094	5714
2056	5685
2075	5682
2083	5614
2084	5590
2058	5483
2093	5378
2073	5322
2064	5302
2057	5230
2059	5185
2063	5181
2065	5006
2095	4992
2074	4969
2085	4910
2086	4828
2087	4768
2077	4723
2097	4670
2068	4630
2079	4549
2088	4484
2067	4480
2078	4446
2066	4415
2069	4320
2076	4318
2098	4159
2089	4154
2096	4090
